trait	n_lead_snps	n_raw_abc_genes	n_cross_validated_genes
whradjbmi_pulit	247	755	21
trunk_fat_perc_elseworth	368	747	14
arm_fat_perc_left_elseworth	410	746	10
arm_fat_perc_right_elseworth	394	706	10
leg_fat_perc_left_elseworth	354	680	5
leg_fat_perc_right_elseworth	354	642	5
multi_trait_fa_chami	160	618	18
tg_hdl_oliveri	179	505	11
multi_trait_ir_garcia_urena	41	107	9
adipoqadjbmi_sanz_martinez	35	60	9
retnadjbmi_sanz_martinez	47	57	1
multi_trait_fa_huang	16	52	4
vaspinadjbmi_sanz_martinez	42	38	0
multi_trait_fa_martin	10	32	6
vatadjbmi_agrawal	9	32	4
gsatadjbmi_agrawal	11	26	5
anterior_thigh_fat_infiltration_van_der_meer	7	20	0
lepadjbmi_sanz_martinez	7	20	0
t2d_suzuki	14	20	0
fiadjbmi_chen	9	17	4
vat_asat_ratio_agrawal	3	17	4
vat_gsat_ratio_agrawal	5	16	4
asat_gsat_ratio_agrawal	1	15	4
multi_trait_fa_ji	2	15	4
posterior_thigh_fat_infiltration_van_der_meer	11	15	0
pancreas_fat_perc_agrawal	6	12	0
spontaneous_lipolysis_kulyte	1	7	0
liver_fat_perc_agrawal	5	6	0
multi_trait_fa_coral	5	6	0
multi_trait_ir_lotta	3	3	1
asatadjbmi_agrawal	3	2	0
adipocyte_number_kulyte	7	0	0
epat_area_ramo	0	0	0
pat_volume_salih	1	0	0
